letter_id,from_id,from_name,to_id,to_name,date
SP_91/3_f.215,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S049839,Tsar Feodor,1682-12-31
SP_91/3_f.298,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S049839,Tsar Feodor,1682-12-31
SP_29/414_f.387,S010520,Cornet John Cole,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/417_f.549,S001303,Anne Laugharne,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.396,S015287,Eve Cohan,S016296,"Francis, Lord Guilford",1680-12-31
SP_71/25_f.27,E001148-S015874-T000000,Francis Baker Consul,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_63/339_f.305,S001592,Anthony de l&#x0027;Angle,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.379,S017623,George Speke,S019862,Hugh Speke,1680-12-31
SP_29/417_f.465,S019292,Henry Nevill,E012005-S020946-T000000,"James II and VII, King of England, Scotland, and Ireland",1680-12-31
SP_44/50_f.75,E005415-S022750-T000000,John Cooke,E012119-S043025-T000000,Sir Leoline Jenkins,1680-12-31
SP_29/414_f.401,S024776,John Wren,E012119-S043025-T000000,Sir Leoline Jenkins,1680-12-31
SP_29/417_f.552,S025041,Joseph Gorgorino,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/417_f.471,S025364,Justices at Hicks&#x0027; Hall,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_63/339_f.301,S027064,Lieutenants Charles Langford,E012119-S043025-T000000,Sir Leoline Jenkins,1680-12-31
SP_29/417_f.467,S033468,Mr. Smith,E012119-S043025-T000000,Sir Leoline Jenkins,1680-12-31
SP_29/417_f.550,S036076,Prince Charles,S029740,Major-General Laugharne,1680-12-31
SP_63/339_f.135,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-31
SP_63/339_f.136,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-31
SP_29/414_f.393,S042478,Sir John Clayton,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.395,S042478,Sir John Clayton,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.389,S043205,Sir Palmes Fairborne,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_63/342_f.252,S051236,"William Burke, Earl of Clanricarde",E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1681-12-31
SP_29/414_f.390,S051968,William Law,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.398,S052559,William Symonds,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.400,S052700,William Whorwood,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.399,S054605,John Tomlinson,S028188,Lords Treasury,1680-12-31
SP_29/414_f.392,S054698,Lieut. John Dew,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.392,S005564,"Captain John Gray, Lieutenant John Dew",E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",1680-12-31
SP_29/414_f.403,S055805,William Johnson,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-12-31
SP_44/51_f.308,S019016,Henry Coventry,S032974,Mr. Justice Robinson,1680-01-02
SP_44/56_f.25,E019549-S039016-T000000,"Spencer, Robert",S008498,Colonel John Strode,1680-01-03
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1620-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E916254-S017435-T000000,"Legge, George",1680-01-03
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1624-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-04
SP_44/50_f.49,S019016,Henry Coventry,S028188,Lords Treasury,1680-01-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1628-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-05
SP_44/164_f.39,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S042697,Sir John Lanier,1680-01-05
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1630-cm,S019016,Henry Coventry,E008261-S038586-T000000,"Robert Frampton, Bishop of Gloucester",1680-01-06
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1632-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-06
SP_63/339_f.124,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-07
SP_44/53_f.23,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S011542,Dean and Chapter of Wells Cathedral,1680-01-08
SP_29/413_f.3,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S027720,Lord Mayor,1680-01-09
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1642-cm,E019549-S039016-T000000,"Spencer, Robert",S026926,Lieutenant of the Tower of London,1680-01-10
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1645-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-12
spo3_cspd_c2_1679-1680_cspd_c2_1679-1680-m1649-cm,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",S028068,Lord-Lieutenant,1680-01-13
SP_44/57_f.17,E004654-S006979-T000000,"Charles II, King of England, Scotland, and Ireland",E015802-S044244-T000000,Sir Thomas Page,1680-01-13
SP_63/339_f.122,E921955-S041743-T000000,Sir George Rawdon,E002622-S014197-T000000,"Edward Conway, Earl of Conway",1680-01-14
